de_DE.header.available,24/7 Beratung
de_DE.header.fixed_price,Kostenloses Fixpreisangebot
de_DE.header.reliable,Zuverlässige Qualität
de_DE.header.phone,030 224 030 462
de_DE.marketing.categories.plastering,Putzarbeiten
de_DE.marketing.categories.wallpapering,Tapezierarbeiten
de_DE.marketing.categories.painting,Malerarbeiten
de_DE.marketing.categories.lacquering,Lackierarbeiten
de_DE.marketing.categories.security,Sicherheitssysteme
de_DE.marketing.categories.electrical,Elektroarbeiten
de_DE.marketing.categories.plumbing,Sanitärarbeiten
de_DE.marketing.categories.flooring,Bodenlegen
en_GB.header.available,Available 24/7
en_GB.header.fixed_price,Free fixed-price offer
en_GB.header.reliable,Reliable quality
en_GB.header.phone,020 7138 9032
en_GB.marketing.categories.plastering,Plastering
en_GB.marketing.categories.wallpapering,Wallpapering
en_GB.marketing.categories.painting,Painting
en_GB.marketing.categories.lacquering,Varnishing
en_GB.marketing.categories.security,Home Security
en_GB.marketing.categories.electrical,Electricity
en_GB.marketing.categories.plumbing,Plumbing
en_GB.marketing.categories.flooring,Flooring
fr_FR.header.available,Disponible 24/7
fr_FR.header.fixed_price,Offre fixe gratuite
fr_FR.header.reliable,Fiabilité
fr_FR.header.phone,01 85 65 34 95
fr_FR.marketing.categories.plastering,Plâtrage
fr_FR.marketing.categories.wallpapering,Tapisserie
fr_FR.marketing.categories.painting,Peinture
fr_FR.marketing.categories.lacquering,Laque
fr_FR.marketing.categories.security,Sécurité
fr_FR.marketing.categories.electrical,Electricité
fr_FR.marketing.categories.plumbing,Plomberie
fr_FR.marketing.categories.flooring,Sols
